fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230726 144936	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	157	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.167291425225934	0.331780362308128	561	14869	33577	152315596.701649	1
20230726 145545	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	818	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0873532034065496	0.300465429983436	765	9809	29455	152279077.961019	2
20230726 150637	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	868	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.178360594853643	0.812932661448284	215	35640	30411	149387689.655172	3
20230726 151138	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	161	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.29122646151695	0.731457760150245	34	27967	32768	152125805.097451	4
20230726 152237	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1299	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0453283604533176	0.434775855817047	689	21302	36512	156118632.683658	5
20230726 153136	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	688	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.153764261342694	0.623420111745394	866	44364	31369	152333719.64018	6
20230726 153943	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	921	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0906159143715888	0.491347804057666	147	48841	33191	156250808.095952	7
20230726 154148	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	244	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.207235895423234	0.123292973226766	267	3283	31638	142004200.89955	8
20230726 155129	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	895	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.13692733044291	0.563720317992138	512	22156	36664	150234746.626687	9
20230726 155934	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	137	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.264142636848653	0.884034660254217	436	2895	29123	139419965.517241	10
